h_type	date	adress	loc	num_floor	unit_per_floor	price	age	statuse	view	doc_status	north	sought	west	east	floor	area	num_sleep	tel	kitch	service	floor_covering	open	parking	warehouse	balcony	equipment
آپارتمان	1402/06/06	تهرانپارس بین رشید و زرین	4	5	2	8,380,000,000 تومان	12	تخلیه	سنگ	شخصي	0	1	0	0	5	91	2	1	MDF	ايراني فرنگي	پارکت	1	0	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/08	تهرانپارس خ استخر	4	5	3	8,700,000,000 تومان	11	مسکونی	سنگ	شخصي	1	0	0	0	5	120	2	1	MDF	ايرانی	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/13	خواجه عبدالله ك یازدهم	4	4	2	10,500,000,000 تومان	30	اجاره	آجر	شخصي	1	0	0	0	2	100	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/05/28	تهران پارس بلوار پروین خ 218	4	5	3	5,200,000,000 تومان	11	مسکونی	سنگ	شخصي	0	1	0	0	4	76	2	1	MDF	ايرانی	سراميک	1	0	1	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/08	هنگام شمیران نو	4	5	2	9,100,000,000 تومان	4	مسکونی	سنگ	مشاع	1	1	0	0	همكف	140	3	1	MDF	ايرانی	سراميک	1	1	0	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/11	هنگام شمیران نو	4	4	1	3,200,000,000 تومان	30	تخلیه	آجر	قولنامه اي	1	0	0	0	2	90	2	1	MDF	ايرانی	سيمان	1	0	1	1	کولر_گاز
آپارتمان	1402/05/31	مجیدیه شمالی خ استاد حسن بنا	4	5	2	9,500,000,000 تومان	4	اجاره	سنگ	شخصي	1	1	0	0	5	85	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/09	تهرانپارس خ استخر	4	5	3	11,000,000,000 تومان	نوساز	مسکونی	ترکیبی	دردست اقدام	0	1	0	0	3	128	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	آسانسور_پکیج_گاز
آپارتمان	1402/05/30	هنگام شمیران نو	4	5	1	2,300,000,000 تومان	8	مسکونی	سنگ	قولنامه اي	1	0	0	0	1	65	1	1	MDF	ايرانی	سراميک	1	0	0	1	کولر_گاز
آپارتمان	1402/06/12	هنگام شمیران نو	4	3	1	1,650,000,000 تومان	17	تخلیه	سنگ	قولنامه اي	1	0	0	0	2	55	1	1	MDF	ايرانی	سراميک	1	0	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/05/30	بنی هاشم نرسیده به خ قدیری	4	4	1	4,800,000,000 تومان	20	تخلیه	سنگ	شخصي	0	1	0	0	2	60	1	1	MDF	ايرانی	موکت	1	0	1	1	شوفاژ_کولر_گاز
آپارتمان	1402/06/06	مجیدیه شمالی خ استاد حسن بنا	4	4	1	15,660,000,000 تومان	نوساز	تخلیه	سنگ	شخصي	1	0	0	0	2	116	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/09	تهرانپارس بلوار پروین بین 131 و 133	4	6	4	7,900,000,000 تومان	5	اجاره	سنگ	شخصي	1	0	0	0	1	105	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/05/29	نیروی دریایی كوچه سهند	4	5	2	7,600,000,000 تومان	6	مسکونی	سنگ	شخصي	1	0	0	0	5	83	2	1	MDF	ايرانی	سراميک	1	1	1	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/14	تهران پارس میدان شاهد خ 196 شرقی خ 137	4	4	4	4,900,000,000 تومان	16	مسکونی	سنگ	شخصي	0	1	0	0	4	70	1	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/07	شریعتی روبروی پارك كوروش	4	5	3	17,850,000,000 تومان	2	مسکونی	سنگ	شخصي	0	1	1	0	3	119	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/05/30	هروی خ ساقدوش	4	5	3	15,400,000,000 تومان	16	تخلیه	سنگ	شخصي	1	1	0	0	4	110	2	1	هایگلاس	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/02	فرجام غربی خ حیدرخانی شمالی	4	6	4	10,000,000,000 تومان	5	مسکونی	سنگ	شخصي	1	1	0	0	5	100	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/01	تهرانپارس خ استخر خ 244	4	8	6	8,200,000,000 تومان	2	اجاره	سنگ	تعاوني	1	0	0	0	3	104	2	1	MDF	ايراني فرنگي	پارکت	1	1	1	1	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/11	مجیدیه شمالی خ استادحسن بنا	4	3	1	4,500,000,000 تومان	30	اجاره	سنگ	شخصي	0	1	0	0	همكف	52	2	1	MDF	ايرانی	سنگ	1	0	1	0	کولر_گاز
آپارتمان	1402/06/06	تهران پارس خ 156	4	5	1	18,720,000,000 تومان	9	مسکونی	سنگ	شخصي	0	1	0	0	1	156	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	آسانسور_استخر_جکوزی_گاز
آپارتمان	1402/06/04	تهرانپارس 4راه تهرانپارس	4	4	1	7,700,000,000 تومان	12	مسکونی	سنگ	شخصي	1	1	0	0	3	113	3	1	MDF	ايرانی	سراميک	1	1	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/06/08	جشنواره خ سیری	4	5	4	4,600,000,000 تومان	17	تخلیه	سنگ	شخصي	0	1	0	0	5	75	2	1	MDF	ايراني فرنگي	سراميک	1	0	1	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/05/29	تهران پارس خ استخر	4	5	2	9,000,000,000 تومان	6	مسکونی	سنگ	شخصي	1	0	0	0	3	115	2	1	MDF	ايراني فرنگي	پارکت	1	1	1	0	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/05/31	تهران پارس خ 188 غربی	4	5	3	4,950,000,000 تومان	20	اجاره	سنگ	شخصي	1	0	0	0	3	52	1	1	MDF	ايراني فرنگي	سراميک	1	0	1	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/07	مجیدیه شمالی خ منصوری	4	6	2	12,100,000,000 تومان	7	اجاره	سنگ	شخصي	1	0	0	0	4	110	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/07	تهران پارس خ 162	4	5	2	14,850,000,000 تومان	17	مسکونی	سنگ	شخصي	1	0	0	0	4	135	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_استخر_سونا_گاز
آپارتمان	1402/06/14	مجیدیه شمالی خ امیرنیا	4	4	1	11,960,000,000 تومان	2	تخلیه	سنگ	شخصي	1	1	0	0	2	112	2	1	MDF	ايراني فرنگي	سراميک	1	0	1	0	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/12	جشنواره خ سیری خ نباتی	4	5	4	5,250,000,000 تومان	12	تخلیه	سنگ	شخصي	0	1	0	0	2	75	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/13	جشنواره خ احسان بلوار گرمابدری	4	5	1	3,780,000,000 تومان	2	مسکونی	سنگ	قولنامه اي	1	0	0	0	5	85	2	1	هایگلاس	ايرانی	سراميک	1	0	1	1	کولر_آسانسور_پکیج_گاز
